"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","delta_t_crit_r_min","delta_t_crit_r_max","k"
"SSP1_2_6",0.0229798387928123,1.15,2.5,1,2.35,2
"SSP2_4_5",0.0361216177145241,1.15,2.5,1,2.35,2
"SSP3_7_0",0.0408103683734041,1.15,2.5,1,2.35,2
"SSP5_8_5",0.0436030094395734,1.15,2.5,1,2.35,2
"SSP1_1_9",0.00624132595543147,1.75,2.2,1.6,1.9,2
"SSP1_2_6",0.00472435525403603,1.75,2.2,1.6,1.9,2
"SSP2_4_5",0.00446332975318602,1.75,2.2,1.6,1.9,2
"SSP3_7_0",0.00503627429881168,1.75,2.2,1.6,1.9,2
"SSP5_8_5",0.00502346601922793,1.75,2.2,1.6,1.9,2
"SSP1_1_9",0.000212823195554615,1.3,1.45,1.6,2.05,2
"SSP1_2_6",0.00020000889485206,1.3,1.45,1.6,2.05,2
"SSP2_4_5",0.00175015075419383,1.3,1.45,1.6,2.05,2
"SSP3_7_0",0.00347886281308938,1.3,1.45,1.6,2.05,2
"SSP5_8_5",0.00346424533535881,1.3,1.45,1.6,2.05,2
"SSP1_1_9",0.00661360639940548,1.9,2.5,1.3,1.9,2
"SSP1_2_6",0.00379462294343424,1.9,2.5,1.3,1.9,2
"SSP2_4_5",0.00690842917315326,1.9,2.5,1.3,1.9,2
"SSP3_7_0",0.00672726961785622,1.9,2.5,1.3,1.9,2
"SSP5_8_5",0.00677216343725051,1.9,2.5,1.3,1.9,2
"SSP1_1_9",0.00582547139533519,1,1.75,2.05,2.2,2
"SSP1_2_6",0.0235115779220197,1,1.75,2.05,2.2,2
"SSP2_4_5",0.0366642534655522,1,1.75,2.05,2.2,2
"SSP3_7_0",0.0334796445050124,1,1.75,2.05,2.2,2
"SSP5_8_5",0.0334288876929525,1,1.75,2.05,2.2,2
"SSP1_1_9",0.0018697453388952,1.15,1.45,2.05,2.35,2
"SSP1_2_6",0.00193089398113392,1.15,1.45,2.05,2.35,2
"SSP2_4_5",0.00957135532073303,1.15,1.45,2.05,2.35,2
"SSP3_7_0",0.0097174361706977,1.15,1.45,2.05,2.35,2
"SSP5_8_5",0.00901426379473089,1.15,1.45,2.05,2.35,2
"SSP1_1_9",0.00117187416289895,1.15,1.45,1,1.9,2
"SSP1_2_6",0.00149079021409004,1.15,1.45,1,1.9,2
"SSP2_4_5",0.0132783607851906,1.15,1.45,1,1.9,2
"SSP3_7_0",0.0152190186755244,1.15,1.45,1,1.9,2
