"delta_t_crit_r_test","delta_t_crit_K_test","sigmoid_bool_r_test","sigmoid_bool_K_test","DEP_EFFECT_test","scen_test","delta_t_crit_r","delta_t_crit_K","sigmoid_bool_r","sigmoid_bool_K","DEP_EFFECT","scen","max_value","r_EVPI","stationary_test"
1.15,1.75,TRUE,TRUE,1,"SSP5_8_5",1.15,1.75,TRUE,TRUE,1,"SSP5_8_5",34.2623630358818,0.0559667333350975,2
1.15,1.9,TRUE,TRUE,1,"SSP1_1_9",1.15,1.9,TRUE,TRUE,1,"SSP1_1_9",38.3159063722481,0.000481776044161937,4
1.15,1.9,TRUE,TRUE,1,"SSP1_2_6",1.15,1.9,TRUE,TRUE,1,"SSP1_2_6",37.828460465616,0.000749043990921839,3
1.15,1.9,TRUE,TRUE,1,"SSP2_4_5",1.15,1.9,TRUE,TRUE,1,"SSP2_4_5",36.4304271410799,0.0162983470641377,4
1.15,1.9,TRUE,TRUE,1,"SSP3_7_0",1.15,1.9,TRUE,TRUE,1,"SSP3_7_0",35.534925296895,0.0388002415047282,4
1.15,1.9,TRUE,TRUE,1,"SSP5_8_5",1.15,1.9,TRUE,TRUE,1,"SSP5_8_5",34.5415274696107,0.0534800093490573,2
1.15,2.05,TRUE,TRUE,1,"SSP1_1_9",1.15,2.05,TRUE,TRUE,1,"SSP1_1_9",38.3652172623515,0.000238017284962909,3
1.15,2.05,TRUE,TRUE,1,"SSP1_2_6",1.15,2.05,TRUE,TRUE,1,"SSP1_2_6",37.8802898644946,0.000859394831622325,3
1.15,2.05,TRUE,TRUE,1,"SSP2_4_5",1.15,2.05,TRUE,TRUE,1,"SSP2_4_5",36.5163481724793,0.0157501227818052,4
1.15,2.05,TRUE,TRUE,1,"SSP3_7_0",1.15,2.05,TRUE,TRUE,1,"SSP3_7_0",35.6436267626794,0.0439291520699168,2
1.15,2.05,TRUE,TRUE,1,"SSP5_8_5",1.15,2.05,TRUE,TRUE,1,"SSP5_8_5",34.6718690790923,0.0522145249205266,2
1.15,2.2,TRUE,TRUE,1,"SSP1_1_9",1.15,2.2,TRUE,TRUE,1,"SSP1_1_9",38.389323043538,9.37230707382105e-05,3
1.15,2.2,TRUE,TRUE,1,"SSP1_2_6",1.15,2.2,TRUE,TRUE,1,"SSP1_2_6",37.9036727223561,0.000774630181910684,2
1.15,2.2,TRUE,TRUE,1,"SSP2_4_5",1.15,2.2,TRUE,TRUE,1,"SSP2_4_5",36.5562914553606,0.0153727525478325,4
1.15,2.2,TRUE,TRUE,1,"SSP3_7_0",1.15,2.2,TRUE,TRUE,1,"SSP3_7_0",35.6944941198349,0.0437348168771896,2
1.15,2.2,TRUE,TRUE,1,"SSP5_8_5",1.15,2.2,TRUE,TRUE,1,"SSP5_8_5",34.7343369805152,0.0515667130233513,2
1.15,2.35,TRUE,TRUE,1,"SSP1_1_9",1.15,2.35,TRUE,TRUE,1,"SSP1_1_9",38.399470290767,8.80601673041911e-05,3
1.15,2.35,TRUE,TRUE,1,"SSP1_2_6",1.15,2.35,TRUE,TRUE,1,"SSP1_2_6",37.9139964521687,0.000204738322476685,3
1.15,2.35,TRUE,TRUE,1,"SSP2_4_5",1.15,2.35,TRUE,TRUE,1,"SSP2_4_5",36.5739631143238,0.0152712365619345,4
1.15,2.35,TRUE,TRUE,1,"SSP3_7_0",1.15,2.35,TRUE,TRUE,1,"SSP3_7_0",35.7180818556496,0.0431529665923733,2
1.15,2.35,TRUE,TRUE,1,"SSP5_8_5",1.15,2.35,TRUE,TRUE,1,"SSP5_8_5",34.7627259099161,0.0513042418515362,2
1.15,2.5,TRUE,TRUE,1,"SSP1_1_9",1.15,2.5,TRUE,TRUE,1,"SSP1_1_9",38.4032511074237,9.06978238315759e-05,3
1.15,2.5,TRUE,TRUE,1,"SSP1_2_6",1.15,2.5,TRUE,TRUE,1,"SSP1_2_6",37.9191009958502,0.000258335361908223,3
1.15,2.5,TRUE,TRUE,1,"SSP2_4_5",1.15,2.5,TRUE,TRUE,1,"SSP2_4_5",36.5860949946076,0.0153916122840795,4
1.15,2.5,TRUE,TRUE,1,"SSP3_7_0",1.15,2.5,TRUE,TRUE,1,"SSP3_7_0",35.7331259948414,0.0431634521598884,2
1.15,2.5,TRUE,TRUE,1,"SSP5_8_5",1.15,2.5,TRUE,TRUE,1,"SSP5_8_5",34.780109571136,0.0512816204527083,2
1.3,1,TRUE,TRUE,1,"SSP1_1_9",1.3,1,TRUE,TRUE,1,"SSP1_1_9",36.5202472427112,0.000517874955150409,2
1.3,1,TRUE,TRUE,1,"SSP1_2_6",1.3,1,TRUE,TRUE,1,"SSP1_2_6",33.7791182310762,0.00424021905635861,2
1.3,1,TRUE,TRUE,1,"SSP2_4_5",1.3,1,TRUE,TRUE,1,"SSP2_4_5",31.7758001278679,0.0976858450414692,4
1.3,1,TRUE,TRUE,1,"SSP3_7_0",1.3,1,TRUE,TRUE,1,"SSP3_7_0",27.7919886353744,0.119638160051932,4
1.3,1,TRUE,TRUE,1,"SSP5_8_5",1.3,1,TRUE,TRUE,1,"SSP5_8_5",25.0722004754529,0.121428007556441,4
1.3,1.15,TRUE,TRUE,1,"SSP1_1_9",1.3,1.15,TRUE,TRUE,1,"SSP1_1_9",37.195851134897,0.000366397823460884,2
1.3,1.15,TRUE,TRUE,1,"SSP1_2_6",1.3,1.15,TRUE,TRUE,1,"SSP1_2_6",35.8506129336346,0.000356806933342518,2
1.3,1.15,TRUE,TRUE,1,"SSP2_4_5",1.3,1.15,TRUE,TRUE,1,"SSP2_4_5",32.9657559402028,0.105545146169571,4
1.3,1.15,TRUE,TRUE,1,"SSP3_7_0",1.3,1.15,TRUE,TRUE,1,"SSP3_7_0",29.8321576270794,0.125543150766178,4
1.3,1.15,TRUE,TRUE,1,"SSP5_8_5",1.3,1.15,TRUE,TRUE,1,"SSP5_8_5",27.1828936545486,0.137652064872269,4
1.3,1.3,TRUE,TRUE,1,"SSP1_1_9",1.3,1.3,TRUE,TRUE,1,"SSP1_1_9",37.6055613910716,0.00325688664550241,3
1.3,1.3,TRUE,TRUE,1,"SSP1_2_6",1.3,1.3,TRUE,TRUE,1,"SSP1_2_6",36.8368486867371,0.00332885118670185,3
1.3,1.3,TRUE,TRUE,1,"SSP2_4_5",1.3,1.3,TRUE,TRUE,1,"SSP2_4_5",34.0311892948389,0.0554152857335141,4
1.3,1.3,TRUE,TRUE,1,"SSP3_7_0",1.3,1.3,TRUE,TRUE,1,"SSP3_7_0",31.7950389399115,0.102266055100408,2
1.3,1.3,TRUE,TRUE,1,"SSP5_8_5",1.3,1.3,TRUE,TRUE,1,"SSP5_8_5",29.5092247314722,0.111306742560222,2
1.3,1.45,TRUE,TRUE,1,"SSP1_1_9",1.3,1.45,TRUE,TRUE,1,"SSP1_1_9",37.9319239623179,0.000398342398094925,3
1.3,1.45,TRUE,TRUE,1,"SSP1_2_6",1.3,1.45,TRUE,TRUE,1,"SSP1_2_6",37.3896383407992,0.00057854431746672,3
1.3,1.45,TRUE,TRUE,1,"SSP2_4_5",1.3,1.45,TRUE,TRUE,1,"SSP2_4_5",35.1030076156363,0.032646635685947,4
1.3,1.45,TRUE,TRUE,1,"SSP3_7_0",1.3,1.45,TRUE,TRUE,1,"SSP3_7_0",33.4980832241089,0.0650273763489329,4
1.3,1.45,TRUE,TRUE,1,"SSP5_8_5",1.3,1.45,TRUE,TRUE,1,"SSP5_8_5",31.7502552834216,0.0940883631772855,2
1.3,1.6,TRUE,TRUE,1,"SSP1_1_9",1.3,1.6,TRUE,TRUE,1,"SSP1_1_9",38.1717614046874,0.000518646918430345,3
1.3,1.6,TRUE,TRUE,1,"SSP1_2_6",1.3,1.6,TRUE,TRUE,1,"SSP1_2_6",37.805995800455,0.0019340231463212,3
1.3,1.6,TRUE,TRUE,1,"SSP2_4_5",1.3,1.6,TRUE,TRUE,1,"SSP2_4_5",35.9784467185177,0.0226383515310012,4
1.3,1.6,TRUE,TRUE,1,"SSP3_7_0",1.3,1.6,TRUE,TRUE,1,"SSP3_7_0",34.7677415319001,0.0429853859025834,4
1.3,1.6,TRUE,TRUE,1,"SSP5_8_5",1.3,1.6,TRUE,TRUE,1,"SSP5_8_5",33.4116322521193,0.0785366592382943,2
1.3,1.75,TRUE,TRUE,1,"SSP1_1_9",1.3,1.75,TRUE,TRUE,1,"SSP1_1_9",38.3332639673203,0.00101038491386023,4
1.3,1.75,TRUE,TRUE,1,"SSP1_2_6",1.3,1.75,TRUE,TRUE,1,"SSP1_2_6",37.9841035865607,0.000970451227606183,3
1.3,1.75,TRUE,TRUE,1,"SSP2_4_5",1.3,1.75,TRUE,TRUE,1,"SSP2_4_5",36.430875801856,0.0178222191915523,4
1.3,1.75,TRUE,TRUE,1,"SSP3_7_0",1.3,1.75,TRUE,TRUE,1,"SSP3_7_0",35.4301408875032,0.0427548706472318,4
1.3,1.75,TRUE,TRUE,1,"SSP5_8_5",1.3,1.75,TRUE,TRUE,1,"SSP5_8_5",34.2809644830771,0.0606884049143053,2
1.3,1.9,TRUE,TRUE,1,"SSP1_1_9",1.3,1.9,TRUE,TRUE,1,"SSP1_1_9",38.4783941142794,0.00036579790684352,3
1.3,1.9,TRUE,TRUE,1,"SSP1_2_6",1.3,1.9,TRUE,TRUE,1,"SSP1_2_6",38.1590453851171,0.00145359012958261,3
1.3,1.9,TRUE,TRUE,1,"SSP2_4_5",1.3,1.9,TRUE,TRUE,1,"SSP2_4_5",36.7398341429478,0.0166979961180297,4
1.3,1.9,TRUE,TRUE,1,"SSP3_7_0",1.3,1.9,TRUE,TRUE,1,"SSP3_7_0",35.8255755251076,0.0269899451727816,4
1.3,1.9,TRUE,TRUE,1,"SSP5_8_5",1.3,1.9,TRUE,TRUE,1,"SSP5_8_5",34.7703328892722,0.0531319576767465,2
1.3,2.05,TRUE,TRUE,1,"SSP1_1_9",1.3,2.05,TRUE,TRUE,1,"SSP1_1_9",38.5726449484606,0.000188454346011641,3
1.3,2.05,TRUE,TRUE,1,"SSP1_2_6",1.3,2.05,TRUE,TRUE,1,"SSP1_2_6",38.2436862093465,0.00174646544932622,3
1.3,2.05,TRUE,TRUE,1,"SSP2_4_5",1.3,2.05,TRUE,TRUE,1,"SSP2_4_5",36.8942493775985,0.0162678481551443,4
1.3,2.05,TRUE,TRUE,1,"SSP3_7_0",1.3,2.05,TRUE,TRUE,1,"SSP3_7_0",36.0328142608674,0.0258396329999005,4
1.3,2.05,TRUE,TRUE,1,"SSP5_8_5",1.3,2.05,TRUE,TRUE,1,"SSP5_8_5",35.0299448889525,0.0498513116041936,2
1.3,2.2,TRUE,TRUE,1,"SSP1_1_9",1.3,2.2,TRUE,TRUE,1,"SSP1_1_9",38.6204777686276,0.000225328734070416,3
1.3,2.2,TRUE,TRUE,1,"SSP1_2_6",1.3,2.2,TRUE,TRUE,1,"SSP1_2_6",38.2874616784982,0.000403302140193028,4
1.3,2.2,TRUE,TRUE,1,"SSP2_4_5",1.3,2.2,TRUE,TRUE,1,"SSP2_4_5",36.9684369197217,0.014178442467863,4
1.3,2.2,TRUE,TRUE,1,"SSP3_7_0",1.3,2.2,TRUE,TRUE,1,"SSP3_7_0",36.1268343767995,0.0254158079067082,4
1.3,2.2,TRUE,TRUE,1,"SSP5_8_5",1.3,2.2,TRUE,TRUE,1,"SSP5_8_5",35.1463267576173,0.0481198779254324,2
1.3,2.35,TRUE,TRUE,1,"SSP1_1_9",1.3,2.35,TRUE,TRUE,1,"SSP1_1_9",38.6407073656538,0.000231928275551492,3
1.3,2.35,TRUE,TRUE,1,"SSP1_2_6",1.3,2.35,TRUE,TRUE,1,"SSP1_2_6",38.311983787372,0.000320587042225904,3
1.3,2.35,TRUE,TRUE,1,"SSP2_4_5",1.3,2.35,TRUE,TRUE,1,"SSP2_4_5",37.0066791130863,0.013929368844926,4
1.3,2.35,TRUE,TRUE,1,"SSP3_7_0",1.3,2.35,TRUE,TRUE,1,"SSP3_7_0",36.1728399370128,0.0251212568622984,4
1.3,2.35,TRUE,TRUE,1,"SSP5_8_5",1.3,2.35,TRUE,TRUE,1,"SSP5_8_5",35.2064106319526,0.0475588573455531,2
1.3,2.5,TRUE,TRUE,1,"SSP1_1_9",1.3,2.5,TRUE,TRUE,1,"SSP1_1_9",38.6501076428443,0.000241601047370538,3
1.3,2.5,TRUE,TRUE,1,"SSP1_2_6",1.3,2.5,TRUE,TRUE,1,"SSP1_2_6",38.3248337745652,0.000292859381564974,3
1.3,2.5,TRUE,TRUE,1,"SSP2_4_5",1.3,2.5,TRUE,TRUE,1,"SSP2_4_5",37.0229711453404,0.0139011729526622,4
1.3,2.5,TRUE,TRUE,1,"SSP3_7_0",1.3,2.5,TRUE,TRUE,1,"SSP3_7_0",36.1931607865163,0.0250497641891992,4
1.3,2.5,TRUE,TRUE,1,"SSP5_8_5",1.3,2.5,TRUE,TRUE,1,"SSP5_8_5",35.2326546146408,0.0472402198723359,2
1.45,1,TRUE,TRUE,1,"SSP1_1_9",1.45,1,TRUE,TRUE,1,"SSP1_1_9",36.5597391825809,0.000525139604449026,2
1.45,1,TRUE,TRUE,1,"SSP1_2_6",1.45,1,TRUE,TRUE,1,"SSP1_2_6",33.6103277261313,0.0114579932859325,2
1.45,1,TRUE,TRUE,1,"SSP2_4_5",1.45,1,TRUE,TRUE,1,"SSP2_4_5",31.5951341562233,0.0985626467861987,4
1.45,1,TRUE,TRUE,1,"SSP3_7_0",1.45,1,TRUE,TRUE,1,"SSP3_7_0",27.1190842542833,0.121087750038641,4
1.45,1,TRUE,TRUE,1,"SSP5_8_5",1.45,1,TRUE,TRUE,1,"SSP5_8_5",24.1450554018341,0.11953825994491,4
1.45,1.15,TRUE,TRUE,1,"SSP1_1_9",1.45,1.15,TRUE,TRUE,1,"SSP1_1_9",37.2513403544131,0.000448064615434009,2
1.45,1.15,TRUE,TRUE,1,"SSP1_2_6",1.45,1.15,TRUE,TRUE,1,"SSP1_2_6",35.8199603658334,0.000452283943204961,2
1.45,1.15,TRUE,TRUE,1,"SSP2_4_5",1.45,1.15,TRUE,TRUE,1,"SSP2_4_5",32.8925160965819,0.114426781974758,3
1.45,1.15,TRUE,TRUE,1,"SSP3_7_0",1.45,1.15,TRUE,TRUE,1,"SSP3_7_0",29.0542617375473,0.126839577922092,4
1.45,1.15,TRUE,TRUE,1,"SSP5_8_5",1.45,1.15,TRUE,TRUE,1,"SSP5_8_5",26.1854214034696,0.13790829178769,4
1.45,1.3,TRUE,TRUE,1,"SSP1_1_9",1.45,1.3,TRUE,TRUE,1,"SSP1_1_9",37.6338599367765,0.00248162910252626,3
