"Year","X5.","Mean","X95.","scenario"
2076,1.40704158033008,1.79796942918959,2.32231970763572,"SSP1_2_6"
2077,1.40660220700957,1.79633425595172,2.32387802105512,"SSP1_2_6"
2078,1.40353774115485,1.79354431850956,2.32498420208588,"SSP1_2_6"
2079,1.40025922090045,1.79222900426615,2.32636561485746,"SSP1_2_6"
2080,1.39835588150275,1.7888919377847,2.32612907181711,"SSP1_2_6"
2081,1.39361072562903,1.78683331070552,2.32720368690625,"SSP1_2_6"
2082,1.39190019218642,1.78381190868415,2.32755477438652,"SSP1_2_6"
2083,1.38884784352024,1.78055345685931,2.32888363962032,"SSP1_2_6"
2084,1.38383948838218,1.77784217257976,2.32956722129259,"SSP1_2_6"
2085,1.38185377021695,1.77457694239731,2.33061119906131,"SSP1_2_6"
2086,1.3789685416373,1.77218948160282,2.33136676184296,"SSP1_2_6"
2087,1.37416306036818,1.76901363721373,2.33296573284583,"SSP1_2_6"
2088,1.36889895621725,1.76449822831306,2.33288842053152,"SSP1_2_6"
2089,1.36490199461799,1.76080984522584,2.33246645744267,"SSP1_2_6"
2090,1.36025662739567,1.75872990902621,2.3314712468229,"SSP1_2_6"
2091,1.35695075689567,1.75431595979412,2.33264912980642,"SSP1_2_6"
2092,1.35256016219281,1.7498712182443,2.33251510036657,"SSP1_2_6"
2093,1.34830232639293,1.74627502511873,2.3321387756966,"SSP1_2_6"
2094,1.34293286321563,1.74247745519347,2.33145073536843,"SSP1_2_6"
2095,1.33856451910923,1.73899400006742,2.33031112710465,"SSP1_2_6"
2096,1.33390117274318,1.73482455762806,2.32950064486528,"SSP1_2_6"
2097,1.32877629029025,1.73158106390397,2.32814847742911,"SSP1_2_6"
2098,1.32455721877411,1.72742295183338,2.3266104439749,"SSP1_2_6"
2099,1.31965213035809,1.72363302930062,2.32461297954852,"SSP1_2_6"
2015,1.01114460818915,1.1032292502774,1.19478186647007,"SSP2_4_5"
2016,1.02988784928463,1.1269017637264,1.22915700373218,"SSP2_4_5"
2017,1.04769798941919,1.15191916733475,1.26423782331056,"SSP2_4_5"
2018,1.06435711514693,1.17725727918633,1.3002358448713,"SSP2_4_5"
2019,1.08132173673772,1.20291064322881,1.33696483517334,"SSP2_4_5"
2020,1.10033878948845,1.2299345112918,1.37773935887215,"SSP2_4_5"
2021,1.11993778224222,1.25579922513576,1.41280396693338,"SSP2_4_5"
2022,1.13871651248141,1.28132557040134,1.44762128912645,"SSP2_4_5"
2023,1.15482429696183,1.3066672932138,1.48177929211348,"SSP2_4_5"
2024,1.17126759565426,1.33284625827605,1.51508760726553,"SSP2_4_5"
2025,1.18363506957573,1.3576367316004,1.5485102580181,"SSP2_4_5"
2026,1.20155350051872,1.38120241124314,1.5815071695027,"SSP2_4_5"
2027,1.21913770576351,1.40555050251697,1.61551340818093,"SSP2_4_5"
2028,1.23764395197576,1.43280894070878,1.64975603774475,"SSP2_4_5"
2029,1.25639678553507,1.45803759350364,1.68445996702132,"SSP2_4_5"
2030,1.27493656827105,1.48294275576227,1.71928545389781,"SSP2_4_5"
