"scen","rEVPI","delta_t_crit_K_min","delta_t_crit_K_max","k"
"SSP5_8_5",0.0157987256787996,1.9,2.5,2
"SSP1_1_9",0,2.05,2.2,2
"SSP1_2_6",0.0021971953742965,2.05,2.2,2
"SSP2_4_5",0.00225181945875218,2.05,2.2,2
"SSP3_7_0",0.00227547293311442,2.05,2.2,2
"SSP5_8_5",0.00207935762244874,2.05,2.2,2
"SSP1_1_9",0,2.05,2.35,2
"SSP1_2_6",0.00997514482420599,2.05,2.35,2
"SSP2_4_5",0.00312572553760568,2.05,2.35,2
"SSP3_7_0",0.00580133282923811,2.05,2.35,2
"SSP5_8_5",0.00612826144816851,2.05,2.35,2
"SSP1_1_9",0,2.05,2.5,2
"SSP1_2_6",0.0143224393322833,2.05,2.5,2
"SSP2_4_5",0.00468794533493304,2.05,2.5,2
"SSP3_7_0",0.00980212479198132,2.05,2.5,2
"SSP5_8_5",0.0098078141432915,2.05,2.5,2
"SSP1_1_9",0,2.2,2.35,2
"SSP1_2_6",0.00449658927754782,2.2,2.35,2
"SSP2_4_5",0.000879692178664347,2.2,2.35,2
"SSP3_7_0",0.00210475753245306,2.2,2.35,2
"SSP5_8_5",0.0020404592689485,2.2,2.35,2
"SSP1_1_9",0,2.2,2.5,2
"SSP1_2_6",0.0044734818240244,2.2,2.5,2
"SSP2_4_5",0.0023700392640349,2.2,2.5,2
"SSP3_7_0",0.00563357356959623,2.2,2.5,2
"SSP5_8_5",0.00482885558694842,2.2,2.5,2
"SSP1_1_9",0,2.35,2.5,2
"SSP1_2_6",0,2.35,2.5,2
"SSP2_4_5",0.000748717289761239,2.35,2.5,2
"SSP3_7_0",0.00181755893196706,2.35,2.5,2
"SSP5_8_5",0.00170982718070651,2.35,2.5,2
"SSP1_1_9",0.000438245576524088,1,1.3,3
"SSP1_2_6",0.0135444442872635,1,1.3,3
"SSP2_4_5",0.00698719923640048,1,1.3,3
"SSP3_7_0",0.00646036641552993,1,1.3,3
"SSP5_8_5",0.00590988117295642,1,1.3,3
"SSP1_1_9",0.0012998434659079,1,1.45,3
"SSP1_2_6",0.0143492042877454,1,1.45,3
"SSP2_4_5",0.0116893756986504,1,1.45,3
"SSP3_7_0",0.0112591727866082,1,1.45,3
"SSP5_8_5",0.0105145568009119,1,1.45,3
"SSP1_1_9",0.00194456213740124,1,1.6,3
"SSP1_2_6",0.014936349749034,1,1.6,3
"SSP2_4_5",0.0168796041831456,1,1.6,3
"SSP3_7_0",0.0164257961098048,1,1.6,3
"SSP5_8_5",0.0155874159244743,1,1.6,3
"SSP1_1_9",0.00392747447924218,1,1.75,3
"SSP1_2_6",0.0166654250115883,1,1.75,3
"SSP2_4_5",0.0237500231010392,1,1.75,3
"SSP3_7_0",0.0232297234740164,1,1.75,3
"SSP5_8_5",0.0223355505457123,1,1.75,3
"SSP1_1_9",0.0079819118246484,1,1.9,3
"SSP1_2_6",0.0187939370761296,1,1.9,3
"SSP2_4_5",0.0310398310926003,1,1.9,3
"SSP3_7_0",0.0303470856060499,1,1.9,3
"SSP5_8_5",0.0298367318171273,1,1.9,3
"SSP1_1_9",0.015430677223325,1,2.05,3
"SSP1_2_6",0.021345824866284,1,2.05,3
"SSP2_4_5",0.0389194238318324,1,2.05,3
"SSP3_7_0",0.0373348840135895,1,2.05,3
"SSP5_8_5",0.0381652272378085,1,2.05,3
"SSP1_1_9",0.0199993384703826,1,2.2,3
"SSP1_2_6",0.0246764084172457,1,2.2,3
"SSP2_4_5",0.0467551476423578,1,2.2,3
"SSP3_7_0",0.0439909699483727,1,2.2,3
"SSP5_8_5",0.0470955705963835,1,2.2,3
"SSP1_1_9",0.0220372723957887,1,2.35,3
"SSP1_2_6",0.0310436727872713,1,2.35,3
"SSP2_4_5",0.0515801136053846,1,2.35,3
"SSP3_7_0",0.0498016354648248,1,2.35,3
"SSP5_8_5",0.0566393767687349,1,2.35,3
"SSP1_1_9",0.0229854881788162,1,2.5,3
"SSP1_2_6",0.0346222986639227,1,2.5,3
"SSP2_4_5",0.0545642167596052,1,2.5,3
"SSP3_7_0",0.0548626257189611,1,2.5,3
"SSP5_8_5",0.0660199109986418,1,2.5,3
"SSP1_1_9",0.00172877375678283,1,1.45,3
"SSP1_2_6",0.014573989046417,1,1.45,3
"SSP2_4_5",0.0138259280222438,1,1.45,3
"SSP3_7_0",0.0131693590088156,1,1.45,3
"SSP5_8_5",0.0123280273379902,1,1.45,3
"SSP1_1_9",0.0023708828410669,1,1.6,3
"SSP1_2_6",0.0151522633823641,1,1.6,3
"SSP2_4_5",0.0189510281135672,1,1.6,3
"SSP3_7_0",0.0182260444889261,1,1.6,3
"SSP5_8_5",0.0172948445513771,1,1.6,3
"SSP1_1_9",0.00434656161841768,1,1.75,3
"SSP1_2_6",0.0168565356903608,1,1.75,3
"SSP2_4_5",0.0257388607085786,1,1.75,3
"SSP3_7_0",0.0248968817793369,1,1.75,3
"SSP5_8_5",0.0239130913172837,1,1.75,3
"SSP1_1_9",0.00838640887357826,1,1.9,3
"SSP1_2_6",0.0189548256641394,1,1.9,3
"SSP2_4_5",0.0329429308235968,1,1.9,3
"SSP3_7_0",0.0318817910330506,1,1.9,3
"SSP5_8_5",0.0312774300031962,1,1.9,3
"SSP1_1_9",0.0158086817369081,1,2.05,3
"SSP1_2_6",0.0214707436728002,1,2.05,3
"SSP2_4_5",0.0407314370855554,1,2.05,3
"SSP3_7_0",0.0387448673819474,1,2.05,3
"SSP5_8_5",0.039461033789856,1,2.05,3
"SSP1_1_9",0.0203612569759625,1,2.2,3
"SSP1_2_6",0.0247546773329762,1,2.2,3
"SSP2_4_5",0.0484779087644769,1,2.2,3
"SSP3_7_0",0.0452864611934763,1,2.2,3
"SSP5_8_5",0.0482421571906545,1,2.2,3
"SSP1_1_9",0.0223920555508654,1,2.35,3
"SSP1_2_6",0.031033639568089,1,2.35,3
"SSP2_4_5",0.0532485184269924,1,2.35,3
"SSP3_7_0",0.0509997900823782,1,2.35,3
"SSP5_8_5",0.0576317775055254,1,2.35,3
"SSP1_1_9",0.0233369629601354,1,2.5,3
"SSP1_2_6",0.034563140192789,1,2.5,3
"SSP2_4_5",0.0561992237661722,1,2.5,3
"SSP3_7_0",0.0559778027041501,1,2.5,3
"SSP5_8_5",0.066864866401915,1,2.5,3
"SSP1_1_9",0.00322260578917188,1,1.6,3
"SSP1_2_6",0.0159290163208274,1,1.6,3
"SSP2_4_5",0.0234444450724302,1,1.6,3
"SSP3_7_0",0.0226248195750805,1,1.6,3
"SSP5_8_5",0.0215175728411808,1,1.6,3
"SSP1_1_9",0.00519220533443627,1,1.75,3
"SSP1_2_6",0.0176209146343849,1,1.75,3
"SSP2_4_5",0.0301452308410046,1,1.75,3
"SSP3_7_0",0.0291300617881986,1,1.75,3
"SSP5_8_5",0.0279742364717292,1,1.75,3
